Shot,Easting (m),Northing (m),Elevation (m),Code
820,559549.344,4896005.525,475.67,HAMMER_22
821,559548.341,4896007.992,477.262,HAMMER_19
822,559547.128,4896010.009,478.673,HAMMER_16
823,559545.618,4896012.546,480.431,HAMMER_13
824,559544.417,4896014.564,481.854,HAMMER_10
825,559543.194,4896016.577,483.269,HAMMER_07
826,559541.447,4896019.579,485.299,HAMMER_03
827,559540.064,4896021.808,486.875,HEADGATE_CEN
828,559540.885,4896022.371,486.869,HEADGATE_L
829,559545.471,4896014.687,481.552,FLUMEBED_L
830,559575.879,4895959.914,446.54,FLUMEBED_R_END
831,559577.6,4895960.9,446.532,FLUMEBED_L_END
832,559577.376,4895961.286,446.571,FLUMEBED_L
833,559577.013,4895961.886,446.689,FLUMEBED_L
834,559576.683,4895962.434,446.819,FLUMEBED_L
835,559576.444,4895962.819,446.912,FLUMEBED_L
836,559575.667,4895964.111,447.235,FLUMEBED_L
837,559575.991,4895963.586,447.092,FLUMEBED_L
838,559576.165,4895963.282,447.015,FLUMEBED_L
839,559575.11,4895965.049,447.536,FLUMEBED_L
840,559574.428,4895966.204,447.978,FLUMEBED_L
841,559573.866,4895967.142,448.397,FLUMEBED_L
842,559573.378,4895967.968,448.876,FLUMEBED_L
843,559573.168,4895968.333,449.148,FLUMEBED_L
844,559572.745,4895969.049,449.631,FLUMEBED_L
845,559572.256,4895969.866,450.233,FLUMEBED_L
846,559571.792,4895970.627,450.762,FLUMEBED_L
847,559571.223,4895971.601,451.418,FLUMEBED_L
848,559570.076,4895973.503,452.766,FLUMEBED_L
849,559568.686,4895975.858,454.407,FLUMEBED_L
850,559566.192,4895979.992,457.297,FLUMEBED_L
851,559564.416,4895982.967,459.383,FLUMEBED_L
852,559562.553,4895986.089,461.552,FLUMEBED_L
853,559560.269,4895989.899,464.233,FLUMEBED_L
854,559557.894,4895993.886,467.009,FLUMEBED_L
855,559555.728,4895997.521,469.604,FLUMEBED_L
856,559554.166,4896000.141,471.398,FLUMEBED_L
857,559553.524,4896001.238,472.155,FLUMEBED_L
858,559551.226,4896005.047,474.82,FLUMEBED_L
859,559549.587,4896007.78,476.721,FLUMEBED_L
860,559547.318,4896011.62,479.425,FLUMEBED_L
861,559545.762,4896010.407,479.306,FLUMEBED_R
862,559543.66,4896013.958,481.799,FLUMEBED_R
863,559541.389,4896017.721,484.407,FLUMEBED_R
864,559548.04,4896006.619,476.685,FLUMEBED_R
865,559547.797,4896006.136,476.789,ACCELEROMETER20
866,559550.137,4896003.093,474.178,FLUMEBED_R
867,559552.27,4895999.547,471.715,FLUMEBED_R
868,559554.511,4895995.73,469.078,FLUMEBED_R
869,559556.628,4895992.182,466.612,FLUMEBED_R
870,559557.455,4895989.969,465.53,ACCELEROMETER43
871,559558.891,4895988.412,463.96,FLUMEBED_R
872,559561.003,4895984.878,461.464,FLUMEBED_R
873,559563.357,4895980.943,458.787,FLUMEBED_R
874,559565.374,4895977.562,456.368,FLUMEBED_R
875,559567.644,4895973.792,453.715,FLUMEBED_R
876,559567.386,4895973.361,453.682,ACCELEROMETER65
877,559569.144,4895970.461,451.774,ACCELEROMETER69
878,559569.75,4895970.214,451.245,FLUMEBED_R
879,559570.802,4895968.485,450.014,FLUMEBED_R
880,559571.12,4895967.965,449.654,FLUMEBED_R
881,559571.261,4895967.721,449.46,FLUMEBED_R
882,559571.415,4895967.485,449.28,FLUMEBED_R
883,559571.571,4895967.199,449.094,FLUMEBED_R
884,559571.709,4895966.961,448.923,FLUMEBED_R
885,559571.872,4895966.682,448.769,FLUMEBED_R
886,559572.044,4895966.345,448.628,FLUMEBED_R
887,559572.162,4895966.181,448.497,FLUMEBED_R
888,559572.33,4895965.879,448.351,FLUMEBED_R
889,559572.434,4895965.716,448.228,FLUMEBED_R
890,559572.662,4895965.328,448.087,FLUMEBED_R
891,559572.809,4895965.065,447.981,FLUMEBED_R
892,559573.001,4895964.75,447.861,FLUMEBED_R
893,559573.13,4895964.522,447.748,FLUMEBED_R
894,559573.27,4895964.243,447.636,FLUMEBED_R
895,559573.463,4895963.962,447.528,FLUMEBED_R
896,559573.677,4895963.706,447.422,FLUMEBED_R
897,559573.813,4895963.373,447.324,FLUMEBED_R
898,559573.986,4895963.102,447.226,FLUMEBED_R
899,559574.029,4895963.138,447.164,FLUMEBED_R
900,559574.138,4895962.904,447.086,FLUMEBED_R
901,559574.717,4895961.909,446.932,FLUMEBED_R
902,559574.838,4895961.654,446.873,FLUMEBED_R
903,559574.853,4895961.637,446.836,FLUMEBED_R
904,559575.182,4895961.112,446.768,FLUMEBED_R
905,559575.397,4895960.797,446.647,FLUMEBED_R
906,559575.864,4895959.945,446.547,FLUMEBED_R
907,559575.457,4895962.564,446.963,LASERBED_X80
908,559568.855,4895973.62,453.232,LASERBED_X65
909,559553.977,4895998.498,470.618,LASERBED_X33
910,559582.497,4895945.815,445.873,PAD4
911,559585.549,4895940.668,445.622,PAD6
1001,559578.819,4895966.346,448.834,INST10
1002,559548.757,4895997.441,471.716,E03
1003,559578.566,4895950.484,446.082,PAD2
1100,559538.668,4896019.373,490.277,INST11
1101,559537.474,4896026.32,490.019,HAMMER_00
1102,559537.474,4896026.32,490.019,CAP_HOPPER_0
1103,559536.456,4896028.016,491.223,CAP_HOPPER_1
1104,559533.63,4896032.775,493.07,CAP_LOADAREA
1105,559542.029,4896039.026,492.929,D01
