date,time,Fv [kN],Fv std,Fv min,Fv max
2019-06-10,23:24:53,11.136,3.185,7.699,19.07
2019-06-10,23:24:54,25.979,3.981,18.253,33.35
2019-06-10,23:24:55,34.374,2.548,28.65,42.605
2019-06-10,23:24:56,36.228,1.108,32.849,40.208
2019-06-10,23:24:57,35.408,0.985,32.449,38.546
2019-06-10,23:24:58,36.097,1.616,32.695,39.694
2019-06-10,23:24:59,37.771,0.781,35.401,40.325
2019-06-10,23:25:00,35.409,1.33,32.797,40.685
2019-06-10,23:25:01,34.302,0.782,31.202,36.925
2019-06-10,23:25:02,35.663,0.665,33.657,38.283
2019-06-10,23:25:03,35.623,0.729,33.717,38.682
2019-06-10,23:25:04,36.701,0.815,34.378,39.639
2019-06-10,23:25:05,36.231,1.517,33.483,42.754
2019-06-10,23:25:06,34.717,0.772,32.899,37.15
2019-06-10,23:25:07,34.432,0.628,32.517,37.022
2019-06-10,23:25:08,34.825,0.813,32.374,36.912
2019-06-10,23:25:09,37.899,1.821,34.309,44.662
2019-06-10,23:25:10,37.945,2.562,32.67,49.204
2019-06-10,23:25:11,36.948,1.312,32.606,42.009
2019-06-10,23:25:12,35.832,0.661,33.536,38.66
2019-06-10,23:25:13,34.159,0.755,32.276,36.297
2019-06-10,23:25:14,33.181,0.707,30.827,36.141
2019-06-10,23:25:15,33.391,0.985,30.907,36.61
2019-06-10,23:25:16,31.629,0.59,29.845,33.759
2019-06-10,23:25:17,33.11,1.118,30.513,36.031
2019-06-10,23:25:18,32.339,0.72,30.243,35.068
2019-06-10,23:25:19,33.545,1.278,30.63,38.779
2019-06-10,23:25:20,33.153,0.865,30.815,35.755
2019-06-10,23:25:21,35.225,1.083,30.702,39.081
2019-06-10,23:25:22,33.073,1.177,29.923,37.459
2019-06-10,23:25:23,32.003,1.648,27.006,38.072
2019-06-10,23:25:24,31.538,1.205,29.239,35.903
2019-06-10,23:25:25,33.474,1.084,29.107,37.509
2019-06-10,23:25:26,33.188,1.015,30.5,36.392
2019-06-10,23:25:27,34.392,1.261,29.402,38.105
2019-06-10,23:25:28,33.16,0.963,30.11,36.206
2019-06-10,23:25:29,31.347,0.606,29.324,33.803
2019-06-10,23:25:30,32.269,1.348,27.552,35.484
2019-06-10,23:25:31,30.719,0.586,28.824,32.386
2019-06-10,23:25:32,30.225,0.79,28.209,32.605
2019-06-10,23:25:33,28.106,1.149,26.179,31.711
2019-06-10,23:25:34,27.406,0.619,25.777,28.854
2019-06-10,23:25:35,26.526,0.524,24.943,28.9
2019-06-10,23:25:36,28.723,1.019,25.188,31.882
2019-06-10,23:25:37,27.761,0.55,26.594,30.036
2019-06-10,23:25:38,27.961,0.358,27.067,29.122
2019-06-10,23:25:39,27.472,0.925,25.144,30.351
2019-06-10,23:25:40,27.168,0.838,24.09,30.504
2019-06-10,23:25:41,29.802,0.914,26.803,32.059
2019-06-10,23:25:42,31.789,0.698,29.581,33.751
2019-06-10,23:25:43,34.243,1.655,31.356,44.133
2019-06-10,23:25:44,32.888,2.03,28.048,42.849
2019-06-10,23:25:45,30.67,0.881,29.286,33.308
2019-06-10,23:25:46,29.266,0.768,26.988,30.722
2019-06-10,23:25:47,29.869,0.782,27.233,32.264
2019-06-10,23:25:48,30.6,1.084,27.552,34.461
