date,time,Fv [kN],Fv std,Fv min,Fv max
2020-08-30,07:52:24,27.877,0.035,27.751,28.006
2020-08-30,07:52:25,27.878,0.037,27.742,28.001
2020-08-30,07:52:26,27.871,0.038,27.749,27.996
2020-08-30,07:52:27,27.883,0.037,27.757,27.996
2020-08-30,07:52:28,27.893,0.040,27.761,28.035
2020-08-30,07:52:29,27.893,0.039,27.761,28.035
2020-08-30,07:52:30,27.865,0.036,27.750,27.991
2020-08-30,07:52:31,27.843,0.037,27.703,27.981
2020-08-30,07:52:32,27.874,0.037,27.722,27.992
2020-08-30,07:52:33,27.891,0.036,27.762,28.011
2020-08-30,07:52:34,27.892,0.041,27.585,28.104
2020-08-30,07:52:35,27.868,0.040,27.743,28.006
2020-08-30,07:52:36,27.847,0.045,27.715,28.022
2020-08-30,07:52:37,27.858,0.044,27.690,28.000
2020-08-30,07:52:38,27.820,0.046,27.698,27.981
2020-08-30,07:52:39,27.816,0.039,27.693,27.964
2020-08-30,07:52:40,27.829,0.042,27.705,27.967
2020-08-30,07:52:41,27.865,0.042,27.727,27.989
2020-08-30,07:52:42,27.885,0.042,27.727,28.028
2020-08-30,07:52:43,27.864,0.050,27.696,28.049
2020-08-30,07:52:44,27.886,0.059,27.675,28.059
2020-08-30,07:52:45,27.856,0.047,27.654,27.993
2020-08-30,07:52:46,27.861,0.048,27.717,28.004
2020-08-30,07:52:47,27.826,0.057,27.656,27.993
2020-08-30,07:52:48,27.743,0.052,27.566,27.892
2020-08-30,07:52:49,27.702,0.046,27.545,27.832
2020-08-30,07:52:50,27.749,0.045,27.579,27.892
2020-08-30,07:52:51,27.793,0.046,27.620,27.924
2020-08-30,07:52:52,27.774,0.043,27.629,27.942
2020-08-30,07:52:53,27.782,0.042,27.646,27.929
2020-08-30,07:52:54,27.717,0.043,27.571,27.850
2020-08-30,07:52:55,27.678,0.042,27.558,27.827
2020-08-30,07:52:56,27.670,0.049,27.493,27.820
2020-08-30,07:52:57,27.627,0.040,27.476,27.770
2020-08-30,07:52:58,27.604,0.044,27.463,27.747
2020-08-30,07:52:59,27.607,0.044,27.461,27.748
2020-08-30,07:53:00,27.586,0.039,27.460,27.723
2020-08-30,07:53:01,27.589,0.044,27.427,27.749
2020-08-30,07:53:02,27.631,0.052,27.446,27.789
2020-08-30,07:53:03,27.726,0.047,27.575,27.884
2020-08-30,07:53:04,27.775,0.045,27.640,27.911
2020-08-30,07:53:05,27.819,0.045,27.693,27.974
2020-08-30,07:53:06,27.883,0.041,27.759,28.008
2020-08-30,07:53:07,27.881,0.045,27.729,28.020
2020-08-30,07:53:08,27.781,0.048,27.644,27.957
2020-08-30,07:53:09,27.721,0.040,27.584,27.867
2020-08-30,07:53:10,27.708,0.037,27.533,27.834
2020-08-30,07:53:11,27.685,0.046,27.511,27.819
2020-08-30,07:53:12,27.639,0.047,27.474,27.773
2020-08-30,07:53:13,27.622,0.038,27.486,27.738
2020-08-30,07:53:14,27.639,0.042,27.492,27.777
2020-08-30,07:53:15,27.665,0.042,27.518,27.789
2020-08-30,07:53:16,27.666,0.044,27.504,27.792
2020-08-30,07:53:17,27.661,0.044,27.529,27.812
2020-08-30,07:53:18,27.616,0.043,27.480,27.743
2020-08-30,07:53:19,27.608,0.037,27.478,27.726
2020-08-30,07:53:20,27.600,0.042,27.448,27.724
2020-08-30,07:53:21,27.581,0.040,27.451,27.745
2020-08-30,07:53:22,27.595,0.047,27.464,27.743
2020-08-30,07:53:23,27.582,0.039,27.453,27.715
2020-08-30,07:53:24,27.562,0.041,27.425,27.708
2020-08-30,07:53:25,27.519,0.042,27.393,27.685
2020-08-30,07:53:26,27.514,0.043,27.372,27.638
2020-08-30,07:53:27,27.510,0.042,27.377,27.642
2020-08-30,07:53:28,27.501,0.042,27.369,27.640
2020-08-30,07:53:29,27.498,0.049,27.312,27.658
2020-08-30,07:53:30,27.501,0.043,27.351,27.636
2020-08-30,07:53:31,27.480,0.042,27.341,27.617
2020-08-30,07:53:32,27.450,0.038,27.324,27.583
2020-08-30,07:53:33,27.451,0.043,27.313,27.603
2020-08-30,07:53:34,27.471,0.039,27.336,27.591
2020-08-30,07:53:35,27.466,0.044,27.321,27.608
2020-08-30,07:53:36,27.437,0.044,27.255,27.583
2020-08-30,07:53:37,27.457,0.036,27.333,27.574
2020-08-30,07:53:38,27.491,0.043,27.319,27.667
2020-08-30,07:53:39,27.521,0.041,27.363,27.654
2020-08-30,07:53:40,27.514,0.038,27.369,27.620
2020-08-30,07:53:41,27.495,0.040,27.339,27.630
2020-08-30,07:53:42,27.463,0.044,27.316,27.590
2020-08-30,07:53:43,27.433,0.036,27.327,27.543
2020-08-30,07:53:44,27.452,0.043,27.312,27.591
2020-08-30,07:53:45,27.459,0.043,27.327,27.606
2020-08-30,07:53:46,27.527,0.046,27.377,27.677
2020-08-30,07:53:47,27.563,0.044,27.441,27.708
2020-08-30,07:53:48,27.643,0.046,27.500,27.820
2020-08-30,07:53:49,27.728,0.049,27.572,27.885
2020-08-30,07:53:50,27.917,0.068,27.710,28.099
2020-08-30,07:53:51,28.091,0.066,27.931,28.288
2020-08-30,07:53:52,28.305,0.051,28.113,28.459
2020-08-30,07:53:53,28.487,0.079,28.271,28.671
2020-08-30,07:53:54,28.748,0.095,28.472,28.906
2020-08-30,07:53:55,28.906,0.059,28.718,29.076
2020-08-30,07:53:56,29.071,0.082,28.811,29.309
2020-08-30,07:53:57,29.388,0.138,29.091,29.680
2020-08-30,07:53:58,29.717,0.074,29.430,30.030
2020-08-30,07:53:59,29.951,0.097,29.650,30.229
2020-08-30,07:54:00,30.106,0.065,29.928,30.332
2020-08-30,07:54:01,30.325,0.087,30.090,30.573
2020-08-30,07:54:02,30.537,0.062,30.349,30.720
2020-08-30,07:54:03,30.639,0.070,30.299,31.162
2020-08-30,07:54:04,30.450,0.102,30.154,30.989
2020-08-30,07:54:05,30.409,0.050,30.199,30.706
2020-08-30,07:54:06,30.299,0.062,30.141,30.504
2020-08-30,07:54:07,30.262,0.118,29.907,31.570
2020-08-30,07:54:08,30.341,0.091,30.048,30.620
2020-08-30,07:54:09,30.277,0.107,29.959,30.885
2020-08-30,07:54:10,29.845,0.208,29.536,30.762
2020-08-30,07:54:11,29.479,0.094,29.256,29.755
2020-08-30,07:54:12,29.246,0.068,29.023,29.431
2020-08-30,07:54:13,29.129,0.060,28.800,29.633
2020-08-30,07:54:14,29.083,0.056,28.866,29.383
