date,time,Fv [kN],Fv std,Fv min,Fv max
2019-08-20,19:03:34,15.443,0.141,14.963,16.05
2019-08-20,19:03:35,16.006,0.133,15.491,16.488
2019-08-20,19:03:36,15.632,0.141,15.027,16.13
2019-08-20,19:03:37,15.496,0.127,14.964,16.077
2019-08-20,19:03:38,15.113,0.17,14.479,15.753
2019-08-20,19:03:39,15.108,0.191,13.737,19.641
2019-08-20,19:03:40,15.875,0.466,14.766,17.057
2019-08-20,19:03:41,16.803,0.183,16.096,17.594
2019-08-20,19:03:42,16.99,0.259,16.167,17.693
2019-08-20,19:03:43,17.441,0.16,16.809,18.122
2019-08-20,19:03:44,17.372,0.148,16.73,18.141
2019-08-20,19:03:45,17.979,0.414,17.124,19.737
2019-08-20,19:03:46,18.006,0.322,16.71,19.023
2019-08-20,19:03:47,17.984,0.365,16.879,19.303
2019-08-20,19:03:48,18.162,0.367,16.696,19.502
2019-08-20,19:03:49,18.046,0.273,17.202,19.209
2019-08-20,19:03:50,18.135,0.379,17.406,19.702
2019-08-20,19:03:51,20.276,0.592,18.244,21.284
2019-08-20,19:03:52,19.79,0.474,19.107,21.243
2019-08-20,19:03:53,19.572,0.293,18.887,20.688
2019-08-20,19:03:54,21.166,0.287,20.019,21.776
2019-08-20,19:03:55,20.995,0.247,20.12,21.651
2019-08-20,19:03:56,22.874,0.627,20.821,23.797
2019-08-20,19:03:57,23.4,0.461,22.218,24.694
2019-08-20,19:03:58,24.099,0.408,23.102,25.657
2019-08-20,19:03:59,25.323,0.323,24.309,26.349
2019-08-20,19:04:00,25.234,0.355,24.348,26.242
2019-08-20,19:04:01,26.631,0.482,24.97,27.734
2019-08-20,19:04:02,27.162,0.38,26.295,28.647
2019-08-20,19:04:03,27.63,0.536,26.134,29.372
2019-08-20,19:04:04,27.26,0.558,25.827,29.585
2019-08-20,19:04:05,27.519,0.468,25.933,29.197
2019-08-20,19:04:06,27.777,0.436,26.751,29.217
2019-08-20,19:04:07,29.208,0.605,27.046,30.386
2019-08-20,19:04:08,29.716,0.502,28.236,31.118
2019-08-20,19:04:09,28.909,0.456,27.242,31.079
2019-08-20,19:04:10,29.769,0.536,27.703,31.03
2019-08-20,19:04:11,30.583,0.509,29.033,32.203
2019-08-20,19:04:12,30.336,0.674,28.332,32.198
2019-08-20,19:04:13,29.71,0.671,27.799,32.206
2019-08-20,19:04:14,29.8,0.376,28.776,30.888
2019-08-20,19:04:15,28.853,0.373,27.74,29.776
2019-08-20,19:04:16,28.45,0.41,27.084,29.673
2019-08-20,19:04:17,28.462,0.416,27.101,29.919
2019-08-20,19:04:18,29.01,0.493,26.51,31.962
2019-08-20,19:04:19,28.119,0.968,25.618,34.303
2019-08-20,19:04:20,26.915,0.517,25.563,28.709
2019-08-20,19:04:21,27.08,0.312,26.226,28.031
2019-08-20,19:04:22,28.032,0.368,26.78,29.093
2019-08-20,19:04:23,28.158,0.36,26.571,29.944
2019-08-20,19:04:24,28.257,0.548,26.321,30.483
2019-08-20,19:04:25,27.717,0.406,26.635,29.178
2019-08-20,19:04:26,26.623,0.452,25.688,28.498
2019-08-20,19:04:27,25.544,0.532,23.89,27.262
2019-08-20,19:04:28,25.603,0.422,24.203,26.716
2019-08-20,19:04:29,26.256,0.513,24.474,28.639
2019-08-20,19:04:30,26.545,0.403,25.139,28.262
2019-08-20,19:04:31,26.705,0.417,25.955,28.008
2019-08-20,19:04:32,28.329,0.507,26.977,30.81
2019-08-20,19:04:33,28.387,0.764,25.76,30.232
2019-08-20,19:04:34,25.775,0.939,24.421,29.226
2019-08-20,19:04:35,24.879,0.231,24.178,25.686
2019-08-20,19:04:36,25.381,0.37,24.44,26.498
2019-08-20,19:04:37,25.709,0.227,24.966,26.853
2019-08-20,19:04:38,25.681,0.371,24.484,26.87
2019-08-20,19:04:39,24.423,0.544,22.741,25.789
2019-08-20,19:04:40,23.553,0.214,22.866,24.293
2019-08-20,19:04:41,23.294,0.462,20.93,24.306
2019-08-20,19:04:42,22.406,0.303,21.277,23.604
2019-08-20,19:04:43,22.712,0.125,22.191,23.149
2019-08-20,19:04:44,22.673,0.139,22.197,23.266
2019-08-20,19:04:45,22.813,0.247,22.128,23.789
2019-08-20,19:04:46,23.67,0.38,22.761,25.034
2019-08-20,19:04:47,24.373,0.359,23.294,25.287
2019-08-20,19:04:48,24.148,0.209,23.416,24.728
2019-08-20,19:04:49,24.777,0.286,23.864,25.614
2019-08-20,19:04:50,25.244,0.36,23.798,26.869
2019-08-20,19:04:51,24.662,0.41,23.05,26.137
2019-08-20,19:04:52,23.697,0.371,22.345,24.522
2019-08-20,19:04:53,22.812,0.246,22.097,23.929
2019-08-20,19:04:54,22.618,0.205,21.944,23.281
2019-08-20,19:04:55,21.835,0.324,21.039,22.686
2019-08-20,19:04:56,20.869,0.341,20.31,22.122
2019-08-20,19:04:57,20.518,0.151,19.943,20.974
2019-08-20,19:04:58,20.433,0.156,19.984,20.967
2019-08-20,19:04:59,20.358,0.109,19.885,20.742
2019-08-20,19:05:00,20.19,0.117,19.718,20.621
2019-08-20,19:05:01,19.966,0.129,19.405,20.526
2019-08-20,19:05:02,20.357,0.184,19.7,20.828
2019-08-20,19:05:03,20.66,0.169,19.992,21.193
2019-08-20,19:05:04,20.746,0.125,20.3,21.381
2019-08-20,19:05:05,20.774,0.117,20.212,21.23
2019-08-20,19:05:06,20.79,0.132,20.274,21.266
2019-08-20,19:05:07,21.037,0.156,20.525,21.517
2019-08-20,19:05:08,21.584,0.236,20.822,22.26
2019-08-20,19:05:09,21.57,0.318,20.286,22.736
2019-08-20,19:05:10,21.631,0.517,20.265,23.071
2019-08-20,19:05:11,22.994,0.424,21.971,24.176
2019-08-20,19:05:12,23.265,0.471,21.911,24.696
2019-08-20,19:05:13,22.771,0.254,21.938,23.806
2019-08-20,19:05:14,22.731,0.254,21.892,23.444
2019-08-20,19:05:15,23.155,0.87,20.853,25.587
2019-08-20,19:05:16,24.395,0.793,22.255,26.265
2019-08-20,19:05:17,24.975,0.627,23.183,27.085
2019-08-20,19:05:18,24.949,1.277,22.127,28.263
2019-08-20,19:05:19,23.246,0.647,21.342,25.157
2019-08-20,19:05:20,22.37,0.554,20.668,24.396
2019-08-20,19:05:21,22.623,0.223,21.672,23.547
2019-08-20,19:05:22,22.414,0.126,21.934,22.941
2019-08-20,19:05:23,22.371,0.241,21.945,23.148
2019-08-20,19:05:24,23.456,0.344,22.727,24.459
2019-08-20,19:05:25,23.788,0.208,23.134,24.427
2019-08-20,19:05:26,23.826,0.238,23.067,24.511
2019-08-20,19:05:27,23.847,0.441,22.268,24.939
2019-08-20,19:05:28,22.837,0.361,21.675,23.83
2019-08-20,19:05:29,22.162,0.233,21.478,23.156
2019-08-20,19:05:30,21.953,0.236,21.026,23.094
2019-08-20,19:05:31,21.938,0.223,21.073,22.702
2019-08-20,19:05:32,22.154,0.172,21.509,22.862
2019-08-20,19:05:33,22.476,0.154,22.034,23.087
2019-08-20,19:05:34,22.878,0.215,22.079,23.658
2019-08-20,19:05:35,23.618,0.293,22.945,24.522
2019-08-20,19:05:36,24.119,0.188,23.509,24.723
2019-08-20,19:05:37,24.51,0.344,23.793,25.854
2019-08-20,19:05:38,25.654,0.345,24.721,26.544
2019-08-20,19:05:39,26.22,0.346,24.892,28.004
2019-08-20,19:05:40,25.793,0.447,24.511,26.911
2019-08-20,19:05:41,25.182,0.362,24.35,26.488
2019-08-20,19:05:42,25.348,0.383,24.162,26.59
2019-08-20,19:05:43,25.5,0.231,24.774,26.205
2019-08-20,19:05:44,25.84,0.562,23.782,27.414
2019-08-20,19:05:45,25.016,0.415,23.484,26.625
2019-08-20,19:05:46,25.656,0.419,24.339,27.391
2019-08-20,19:05:47,25.968,0.194,25.405,26.95
2019-08-20,19:05:48,26.03,0.228,25.274,26.657
2019-08-20,19:05:49,26.156,0.262,25.01,26.885
2019-08-20,19:05:50,26.624,0.371,25.407,28.122
2019-08-20,19:05:51,26.764,0.255,26.056,27.61
2019-08-20,19:05:52,26.401,0.271,25.507,27.205
2019-08-20,19:05:53,25.725,0.331,24.756,27.417
2019-08-20,19:05:54,26.516,0.376,25.621,27.637
2019-08-20,19:05:55,26.591,0.384,25.223,27.93
2019-08-20,19:05:56,26.196,0.237,25.337,26.821
2019-08-20,19:05:57,26.278,0.441,25.083,27.395
2019-08-20,19:05:58,26.969,0.276,25.805,27.822
2019-08-20,19:05:59,27.593,0.395,26.653,28.674
2019-08-20,19:06:00,29.431,1.036,27.882,32.316
2019-08-20,19:06:01,38.401,2.463,32.128,41.113
2019-08-20,19:06:02,43.372,1.268,39.568,45.767
2019-08-20,19:06:03,43.835,0.687,42.165,46.289
2019-08-20,19:06:04,45.641,0.803,42.833,48.186
2019-08-20,19:06:05,44.707,0.797,42.695,47.538
2019-08-20,19:06:06,45.75,0.674,43.919,47.37
2019-08-20,19:06:07,44.206,1.092,41.379,47.391
2019-08-20,19:06:08,43.278,0.926,41.065,45.92
2019-08-20,19:06:09,46.336,1.073,42.881,48.974
2019-08-20,19:06:10,46.389,0.7,44.175,48.314
2019-08-20,19:06:11,45.558,0.857,43.092,48.328
2019-08-20,19:06:12,48.355,1.74,44.485,52.515
2019-08-20,19:06:13,49.644,1.034,47.053,52.453
2019-08-20,19:06:14,49.322,1.108,46.121,52.353
2019-08-20,19:06:15,48.908,1.133,46.401,52.801
2019-08-20,19:06:16,47.514,1.157,44.832,52.147
2019-08-20,19:06:17,48.626,0.987,46.158,51.925
2019-08-20,19:06:18,49.414,0.977,46.401,51.945
2019-08-20,19:06:19,50.672,1.136,48.734,54.276
2019-08-20,19:06:20,53.988,2.128,48.547,60.877
2019-08-20,19:06:21,55.272,1.311,51.178,59.046
2019-08-20,19:06:22,57.796,1.594,53.929,62.363
2019-08-20,19:06:23,57.946,1.822,51.021,63.945
2019-08-20,19:06:24,56.956,1.398,52.849,61.616
2019-08-20,19:06:25,54.34,1.479,50.349,57.887
2019-08-20,19:06:26,55.249,1.484,52.396,61.733
2019-08-20,19:06:27,55.147,2.766,47.848,64.382
2019-08-20,19:06:28,52.208,1.269,47.938,56.466
2019-08-20,19:06:29,52.491,1.385,48.445,56.731
2019-08-20,19:06:30,53.025,1.466,48.317,57.824
2019-08-20,19:06:31,53.888,1.357,50.754,58.446
2019-08-20,19:06:32,55.049,1.443,50.922,59.815
2019-08-20,19:06:33,53.497,1.903,49.194,61.023
2019-08-20,19:06:34,52.335,0.952,49.323,55.261
2019-08-20,19:06:35,50.992,1.211,47.443,54.789
2019-08-20,19:06:36,48.839,0.7,47.404,51.756
2019-08-20,19:06:37,49.593,0.837,46.578,51.79
2019-08-20,19:06:38,50.423,1.131,46.981,55.234
2019-08-20,19:06:39,51.835,1.193,48.879,55.676
2019-08-20,19:06:40,51.574,0.771,49.475,54.867
2019-08-20,19:06:41,51.982,1.201,47.494,56.473
2019-08-20,19:06:42,55.043,1.399,51.728,59.22
2019-08-20,19:06:43,56.938,1.702,51.736,62.627
2019-08-20,19:06:44,55.334,1.003,52.317,58.998
2019-08-20,19:06:45,55.592,2.105,49.959,61.45
2019-08-20,19:06:46,52.168,1.325,49.858,56.371
2019-08-20,19:06:47,50.974,1.011,47.794,54.449
2019-08-20,19:06:48,51.148,0.78,49.116,53.309
2019-08-20,19:06:49,52.79,0.897,50.496,55.636
2019-08-20,19:06:50,55.048,1.133,51.605,58.485
2019-08-20,19:06:51,56.132,1.657,50.318,62.189
2019-08-20,19:06:52,56.894,1.692,49.85,63.103
2019-08-20,19:06:53,56.491,0.928,54.104,63.011
2019-08-20,19:06:54,58.0,0.999,55.108,62.182
2019-08-20,19:06:55,57.161,1.825,51.658,63.181
2019-08-20,19:06:56,57.581,0.742,55.995,60.775
2019-08-20,19:06:57,57.913,0.907,55.424,60.875
2019-08-20,19:06:58,60.061,1.139,56.33,63.059
2019-08-20,19:06:59,58.168,2.932,47.914,69.591
2019-08-20,19:07:00,56.796,0.703,54.948,58.777
2019-08-20,19:07:01,58.368,0.574,56.651,60.186
2019-08-20,19:07:02,58.765,1.333,55.234,63.207
2019-08-20,19:07:03,59.426,1.147,55.761,62.836
2019-08-20,19:07:04,58.349,2.356,52.778,65.429
2019-08-20,19:07:05,58.444,1.507,51.681,64.797
2019-08-20,19:07:06,58.893,0.711,56.823,60.871
2019-08-20,19:07:07,59.402,0.783,56.31,61.08
2019-08-20,19:07:08,60.483,0.991,56.987,65.667
2019-08-20,19:07:09,59.167,1.189,55.794,62.801
2019-08-20,19:07:10,57.881,1.17,54.687,62.598
2019-08-20,19:07:11,58.305,0.805,55.949,61.171
2019-08-20,19:07:12,58.74,0.787,56.245,61.091
2019-08-20,19:07:13,59.132,1.164,55.228,63.006
2019-08-20,19:07:14,58.501,0.863,55.638,62.047
2019-08-20,19:07:15,58.52,1.216,55.266,62.527
2019-08-20,19:07:16,58.371,0.792,56.252,60.529
2019-08-20,19:07:17,59.533,0.91,56.618,61.786
2019-08-20,19:07:18,61.147,0.826,58.826,63.518
2019-08-20,19:07:19,64.414,1.727,61.064,70.126
2019-08-20,19:07:20,66.617,0.931,63.713,69.87
2019-08-20,19:07:21,68.107,2.0,63.583,77.625
2019-08-20,19:07:22,69.91,2.476,59.775,77.905
2019-08-20,19:07:23,63.639,2.826,56.674,71.473
2019-08-20,19:07:24,62.263,0.541,60.871,64.426
2019-08-20,19:07:25,61.037,0.742,58.981,63.275
2019-08-20,19:07:26,60.092,1.459,55.4,65.865
2019-08-20,19:07:27,59.777,1.058,58.142,63.804
2019-08-20,19:07:28,62.925,1.148,59.588,66.137
2019-08-20,19:07:29,63.287,2.385,57.325,72.316
2019-08-20,19:07:30,64.122,1.514,60.375,69.076
2019-08-20,19:07:31,65.269,1.606,58.925,71.099
2019-08-20,19:07:32,67.109,1.399,62.486,70.788
2019-08-20,19:07:33,66.443,1.925,60.967,71.901
2019-08-20,19:07:34,68.22,2.008,62.046,73.267
2019-08-20,19:07:35,68.681,2.266,59.766,75.85
2019-08-20,19:07:36,66.719,0.882,63.473,69.95
2019-08-20,19:07:37,66.582,1.608,63.079,71.803
2019-08-20,19:07:38,66.08,1.671,61.427,70.37
2019-08-20,19:07:39,67.799,2.357,57.933,78.566
2019-08-20,19:07:40,67.535,1.309,61.814,71.201
2019-08-20,19:07:41,69.199,1.229,63.721,74.689
