date,time,Fv [kN],Fv std,Fv min,Fv max
2020-08-17,01:16:25,4.475,0.037,4.338,4.582
2020-08-17,01:16:26,4.451,0.038,4.330,4.561
2020-08-17,01:16:27,4.454,0.037,4.337,4.571
2020-08-17,01:16:28,4.458,0.039,4.286,4.579
2020-08-17,01:16:29,4.479,0.041,4.343,4.612
2020-08-17,01:16:30,4.462,0.043,4.327,4.593
2020-08-17,01:16:31,4.449,0.043,4.324,4.582
2020-08-17,01:16:32,4.408,0.040,4.275,4.559
2020-08-17,01:16:33,4.431,0.042,4.287,4.573
2020-08-17,01:16:34,4.414,0.043,4.261,4.558
2020-08-17,01:16:35,4.414,0.042,4.105,4.559
2020-08-17,01:16:36,4.391,0.041,4.247,4.519
2020-08-17,01:16:37,4.434,0.041,4.270,4.572
2020-08-17,01:16:38,4.412,0.044,4.280,4.608
2020-08-17,01:16:39,4.424,0.039,4.283,4.565
2020-08-17,01:16:40,4.418,0.041,4.289,4.594
2020-08-17,01:16:41,4.407,0.043,4.245,4.549
2020-08-17,01:16:42,4.377,0.041,4.241,4.513
2020-08-17,01:16:43,4.368,0.041,4.238,4.516
2020-08-17,01:16:44,4.374,0.038,4.241,4.517
2020-08-17,01:16:45,4.400,0.038,4.249,4.533
2020-08-17,01:16:46,4.392,0.039,4.253,4.543
2020-08-17,01:16:47,4.385,0.038,4.274,4.535
2020-08-17,01:16:48,4.374,0.040,4.239,4.504
2020-08-17,01:16:49,4.362,0.039,4.237,4.517
2020-08-17,01:16:50,4.342,0.039,4.211,4.465
2020-08-17,01:16:51,4.327,0.042,4.173,4.480
2020-08-17,01:16:52,4.350,0.043,4.169,4.496
2020-08-17,01:16:53,4.351,0.042,4.188,4.486
2020-08-17,01:16:54,4.323,0.039,4.160,4.454
2020-08-17,01:16:55,4.314,0.039,4.189,4.424
2020-08-17,01:16:56,4.315,0.041,4.182,4.484
2020-08-17,01:16:57,4.295,0.039,4.150,4.425
2020-08-17,01:16:58,4.311,0.037,4.197,4.453
2020-08-17,01:16:59,4.317,0.039,4.172,4.431
2020-08-17,01:17:00,4.294,0.041,4.167,4.453
2020-08-17,01:17:01,4.322,0.046,4.143,4.471
2020-08-17,01:17:02,4.329,0.039,4.199,4.449
