date,time,Fv [kN],Fv std,Fv min,Fv max
2020-06-29,07:36:30,1.309,0.086,1.044,1.644
2020-06-29,07:36:31,1.364,0.071,1.151,1.641
2020-06-29,07:36:32,1.260,0.111,0.842,1.712
2020-06-29,07:36:33,1.537,0.114,1.109,1.873
2020-06-29,07:36:34,1.572,0.100,0.983,2.114
2020-06-29,07:36:35,1.495,0.084,1.187,1.858
2020-06-29,07:36:36,1.450,0.057,1.258,1.633
2020-06-29,07:36:37,1.313,0.071,1.065,1.562
2020-06-29,07:36:38,1.257,0.068,1.041,1.623
2020-06-29,07:36:39,1.294,0.064,1.058,1.559
2020-06-29,07:36:40,1.317,0.083,0.718,1.639
2020-06-29,07:36:41,1.317,0.072,1.067,1.739
2020-06-29,07:36:42,1.352,0.124,1.041,1.874
2020-06-29,07:36:43,1.246,0.071,1.038,1.500
2020-06-29,07:36:44,1.198,0.075,0.966,1.438
2020-06-29,07:36:45,1.252,0.107,0.697,1.566
2020-06-29,07:36:46,1.277,0.072,1.054,1.555
2020-06-29,07:36:47,1.400,0.102,1.132,1.686
2020-06-29,07:36:48,1.488,0.075,1.263,1.797
2020-06-29,07:36:49,1.534,0.083,1.238,1.837
2020-06-29,07:36:50,1.601,0.089,1.344,1.916
2020-06-29,07:36:51,1.618,0.111,1.199,2.046
2020-06-29,07:36:52,1.535,0.094,1.281,1.820
2020-06-29,07:36:53,1.583,0.089,1.308,1.992
2020-06-29,07:36:54,1.435,0.099,1.119,1.808
2020-06-29,07:36:55,1.379,0.101,1.090,1.789
2020-06-29,07:36:56,1.341,0.082,1.089,1.691
2020-06-29,07:36:57,1.615,0.198,1.129,2.336
2020-06-29,07:36:58,1.590,0.166,0.917,2.151
2020-06-29,07:36:59,1.625,0.112,1.269,2.219
2020-06-29,07:37:00,1.578,0.095,1.231,1.863
2020-06-29,07:37:01,1.530,0.082,1.268,1.935
2020-06-29,07:37:02,1.605,0.087,1.315,1.844
2020-06-29,07:37:03,1.663,0.093,1.228,2.205
2020-06-29,07:37:04,1.651,0.082,1.410,1.953
2020-06-29,07:37:05,1.580,0.081,1.290,1.920
2020-06-29,07:37:06,1.321,0.128,1.002,1.767
2020-06-29,07:37:07,1.317,0.107,1.030,1.769
2020-06-29,07:37:08,1.384,0.091,1.113,1.951
2020-06-29,07:37:09,1.423,0.111,0.984,1.912
2020-06-29,07:37:10,1.478,0.071,1.257,1.722
2020-06-29,07:37:11,1.524,0.081,1.235,1.776
2020-06-29,07:37:12,1.509,0.074,1.266,1.721
2020-06-29,07:37:13,1.470,0.069,1.238,1.817
2020-06-29,07:37:14,1.550,0.077,1.280,1.783
2020-06-29,07:37:15,1.427,0.072,1.222,1.738
2020-06-29,07:37:16,1.428,0.063,1.232,1.684
2020-06-29,07:37:17,1.388,0.084,1.139,1.720
2020-06-29,07:37:18,1.400,0.074,1.106,1.826
2020-06-29,07:37:19,1.370,0.092,1.095,1.745
2020-06-29,07:37:20,1.338,0.091,1.073,1.964
2020-06-29,07:37:21,1.325,0.145,0.905,1.696
2020-06-29,07:37:22,1.319,0.059,1.125,1.506
2020-06-29,07:37:23,1.298,0.064,1.072,1.495
2020-06-29,07:37:24,1.320,0.104,1.010,1.922
2020-06-29,07:37:25,1.339,0.087,1.057,1.634
2020-06-29,07:37:26,1.311,0.096,1.003,1.569
2020-06-29,07:37:27,1.337,0.054,1.126,1.536
2020-06-29,07:37:28,1.359,0.080,1.040,1.684
2020-06-29,07:37:29,1.472,0.113,1.166,1.847
2020-06-29,07:37:30,1.482,0.117,1.091,1.935
2020-06-29,07:37:31,1.450,0.113,1.107,1.761
2020-06-29,07:37:32,1.362,0.073,1.108,1.605
2020-06-29,07:37:33,1.443,0.079,1.195,1.685
2020-06-29,07:37:34,1.430,0.080,1.186,1.724
2020-06-29,07:37:35,1.365,0.077,1.085,1.606
2020-06-29,07:37:36,1.305,0.073,1.096,1.532
2020-06-29,07:37:37,1.300,0.092,0.962,1.833
2020-06-29,07:37:38,1.460,0.155,0.877,2.065
2020-06-29,07:37:39,1.628,0.145,1.151,2.096
2020-06-29,07:37:40,1.424,0.152,0.868,2.088
2020-06-29,07:37:41,1.354,0.099,1.098,1.709
2020-06-29,07:37:42,1.525,0.093,1.201,1.848
2020-06-29,07:37:43,1.460,0.075,1.200,1.857
2020-06-29,07:37:44,1.349,0.101,1.071,1.915
2020-06-29,07:37:45,1.275,0.067,1.043,1.550
2020-06-29,07:37:46,1.288,0.060,1.062,1.474
2020-06-29,07:37:47,1.274,0.065,1.067,1.541
2020-06-29,07:37:48,1.342,0.086,1.028,1.572
2020-06-29,07:37:49,1.264,0.101,0.980,1.715
2020-06-29,07:37:50,1.210,0.086,0.878,1.560
2020-06-29,07:37:51,1.383,0.122,0.942,1.873
2020-06-29,07:37:52,1.367,0.086,1.080,1.717
2020-06-29,07:37:53,1.373,0.072,1.139,1.830
2020-06-29,07:37:54,1.278,0.070,1.081,1.677
2020-06-29,07:37:55,1.274,0.068,1.077,1.527
2020-06-29,07:37:56,1.223,0.072,0.900,1.596
2020-06-29,07:37:57,1.190,0.083,0.899,1.476
2020-06-29,07:37:58,1.216,0.080,0.981,1.631
2020-06-29,07:37:59,1.193,0.132,0.632,2.015
2020-06-29,07:38:00,1.178,0.097,0.911,1.649
2020-06-29,07:38:01,1.390,0.179,0.767,1.957
2020-06-29,07:38:02,1.436,0.103,1.182,1.915
2020-06-29,07:38:03,1.352,0.051,1.167,1.530
2020-06-29,07:38:04,1.343,0.126,0.655,1.972
2020-06-29,07:38:05,1.345,0.094,1.109,1.820
2020-06-29,07:38:06,1.341,0.071,1.130,1.580
2020-06-29,07:38:07,1.375,0.079,1.153,1.621
2020-06-29,07:38:08,1.360,0.095,1.069,1.697
2020-06-29,07:38:09,1.258,0.088,0.922,1.590
2020-06-29,07:38:10,1.165,0.084,0.883,1.761
2020-06-29,07:38:11,1.185,0.105,0.883,1.604
2020-06-29,07:38:12,1.182,0.094,0.907,1.485
2020-06-29,07:38:13,1.265,0.094,0.926,1.636
2020-06-29,07:38:14,1.195,0.062,1.020,1.461
2020-06-29,07:38:15,1.127,0.059,0.934,1.353
2020-06-29,07:38:16,1.121,0.064,0.909,1.337
2020-06-29,07:38:17,1.070,0.085,0.848,1.332
2020-06-29,07:38:18,1.225,0.083,0.961,1.549
2020-06-29,07:38:19,1.163,0.071,0.876,1.367
2020-06-29,07:38:20,1.023,0.067,0.809,1.385
2020-06-29,07:38:21,0.996,0.095,0.522,1.997
2020-06-29,07:38:22,1.112,0.083,0.873,1.451
2020-06-29,07:38:23,0.991,0.065,0.778,1.223
2020-06-29,07:38:24,1.028,0.059,0.792,1.259
2020-06-29,07:38:25,0.993,0.061,0.784,1.217
2020-06-29,07:38:26,0.952,0.056,0.746,1.116
2020-06-29,07:38:27,0.855,0.058,0.660,1.090
2020-06-29,07:38:28,0.901,0.051,0.710,1.056
2020-06-29,07:38:29,0.921,0.059,0.701,1.116
2020-06-29,07:38:30,0.865,0.068,0.645,1.190
2020-06-29,07:38:31,0.910,0.049,0.757,1.075
2020-06-29,07:38:32,0.905,0.052,0.749,1.067
2020-06-29,07:38:33,0.962,0.052,0.775,1.114
2020-06-29,07:38:34,1.036,0.042,0.895,1.199
2020-06-29,07:38:35,0.988,0.053,0.818,1.169
2020-06-29,07:38:36,1.001,0.058,0.828,1.178
2020-06-29,07:38:37,1.029,0.061,0.780,1.261
2020-06-29,07:38:38,0.935,0.095,0.543,1.271
2020-06-29,07:38:39,1.009,0.056,0.827,1.317
2020-06-29,07:38:40,1.087,0.088,0.830,1.569
2020-06-29,07:38:41,1.087,0.062,0.863,1.308
2020-06-29,07:38:42,1.049,0.049,0.900,1.222
2020-06-29,07:38:43,1.120,0.048,0.976,1.358
2020-06-29,07:38:44,1.146,0.055,0.966,1.364
2020-06-29,07:38:45,1.084,0.088,0.830,1.305
2020-06-29,07:38:46,1.041,0.049,0.846,1.210
2020-06-29,07:38:47,1.165,0.069,0.940,1.431
2020-06-29,07:38:48,1.333,0.056,1.132,1.590
2020-06-29,07:38:49,1.360,0.163,0.887,1.935
2020-06-29,07:38:50,1.350,0.138,1.020,1.776
2020-06-29,07:38:51,1.218,0.061,1.019,1.478
2020-06-29,07:38:52,1.320,0.058,1.132,1.512
2020-06-29,07:38:53,1.394,0.061,1.186,1.577
2020-06-29,07:38:54,1.274,0.065,1.063,1.462
2020-06-29,07:38:55,1.301,0.071,1.116,1.573
2020-06-29,07:38:56,1.290,0.068,1.129,1.518
2020-06-29,07:38:57,1.338,0.066,1.140,1.663
2020-06-29,07:38:58,1.376,0.100,1.095,1.912
2020-06-29,07:38:59,1.326,0.072,1.130,1.623
2020-06-29,07:39:00,1.291,0.067,1.079,1.676
2020-06-29,07:39:01,1.293,0.058,1.001,1.471
2020-06-29,07:39:02,1.352,0.093,1.075,1.701
2020-06-29,07:39:03,1.398,0.059,1.092,1.606
2020-06-29,07:39:04,1.344,0.045,1.184,1.497
2020-06-29,07:39:05,1.443,0.075,1.281,1.694
2020-06-29,07:39:06,1.475,0.094,1.231,2.082
2020-06-29,07:39:07,1.406,0.057,1.207,1.606
